Date,Amount,Merchant,Category,Notes
2023-04-25,-7.7,Furbo,Business Utilities & Communication,
2023-04-01,-58.25,Apple,Uncategorized,
2023-04-01,-67.24,Interest,Interest Charge,
2023-04-01,-9.99,Apple,Uncategorized,
2023-03-31,163.16,Bill Payment,Transfer,
2023-03-25,-7.7,Furbo,Business Utilities & Communication,
2023-03-01,-58.25,Apple,Uncategorized,
2023-03-01,-9.91,Apple,Uncategorized,
2023-03-01,-60.66,Interest,Interest Charge,
2023-02-28,171.16,Bill Payment,Transfer,
2023-02-04,-30.0,State Park Reservations,Entertainment & Recreation,
2023-02-01,-69.04,Interest,Interest Charge,
2023-02-01,-58.25,Apple,Uncategorized,
2023-02-01,-9.91,Apple,Uncategorized,
2023-01-29,-17.32,Starbucks,Restaurants & Bars,
2023-01-25,300.96,Bill Payment,Transfer,
2023-01-22,-25.92,Air Duct Cleaning Snoqualmie Pass,Entertainment & Recreation,
2023-01-22,-12.96,Air Duct Cleaning Snoqualmie Pass,Entertainment & Recreation,
2023-01-01,-9.91,Apple,Uncategorized,
2023-01-01,-58.25,Apple,Uncategorized,
2023-01-01,344.32,Bill Payment,Transfer,
2023-01-01,-71.35,Interest,Interest Charge,
2022-12-02,-15.99,Lyft,Taxi & Ride Shares,
2022-12-01,-9.91,Apple,Uncategorized,
2022-12-01,-58.25,Apple,Uncategorized,
2022-12-01,-63.2,Interest,Interest Charge,
2022-11-30,163.16,Bill Payment,Transfer,
2022-11-29,-94.0,La Vie en Rose,Personal,
2022-11-19,-150.6,Safeway,Groceries,
2022-11-05,-192.75,Asian Family Market Headquarters,Groceries,
2022-11-01,-61.66,Interest,Interest Charge,
2022-11-01,159.16,Bill Payment,Transfer,
2022-11-01,-9.91,Apple,Uncategorized,
2022-11-01,-58.25,Apple,Uncategorized,
2022-10-01,-9.91,Apple,Uncategorized,
2022-10-01,-57.66,Interest,Interest Charge,
2022-10-01,-58.25,Apple,Uncategorized,
2022-09-23,161.16,Bill Payment,Transfer,
2022-09-06,-44.24,Zara,Clothing,
2022-09-01,-59.84,Interest,Interest Charge,
2022-09-01,-58.25,Apple,Uncategorized,
2022-09-01,-9.91,Apple,Uncategorized,
2022-08-31,156.16,Bill Payment,Transfer,
