Date,Amount,Merchant,Category,Notes
2025-04-11,0.55,Deposit,Other Income,
2025-04-10,0.27,Deposit,Other Income,
2025-04-08,0.11,Deposit,Other Income,
2025-04-08,0.42,Deposit,Other Income,
2025-04-08,0.55,Deposit,Other Income,
2025-04-07,1.33,Deposit,Other Income,
2025-04-07,1.36,Deposit,Other Income,
2025-04-07,4.4,Deposit,Other Income,
2025-04-05,0.05,Deposit,Other Income,
2025-04-05,0.25,Deposit,Other Income,
2025-04-04,0.24,Deposit,Other Income,
2025-04-04,1.06,Deposit,Other Income,
2025-04-04,3.28,Deposit,Other Income,
2025-04-04,0.19,Deposit,Other Income,
2025-04-04,0.08,Deposit,Other Income,
2025-04-04,0.27,Deposit,Other Income,
2025-04-03,0.22,Deposit,Other Income,
2025-04-03,0.02,Deposit,Other Income,
2025-04-03,1.05,Deposit,Other Income,
2025-04-03,0.66,Deposit,Other Income,
2025-04-03,0.32,Deposit,Other Income,
2025-04-03,0.01,Deposit,Other Income,
2025-04-02,1.07,Deposit,Other Income,
2025-04-02,0.18,Deposit,Other Income,
2025-04-02,0.16,Deposit,Other Income,
2025-04-02,0.09,Deposit,Other Income,
2025-04-02,0.23,Deposit,Other Income,
2025-04-01,1.59,Interest,Interest Gains,
2025-03-31,0.19,Deposit,Other Income,
2025-03-31,0.24,Deposit,Other Income,
2025-03-31,0.26,Deposit,Other Income,
2025-03-31,0.18,Deposit,Other Income,
2025-03-31,0.08,Deposit,Other Income,
2025-03-31,5.9,Deposit,Other Income,
2025-03-31,0.18,Deposit,Other Income,
2025-03-30,1.13,Deposit,Other Income,
2025-03-30,0.38,Deposit,Other Income,
2025-03-30,0.24,Deposit,Other Income,
2025-03-30,1.76,Deposit,Other Income,
2025-03-30,0.04,Deposit,Other Income,
2025-03-29,0.72,Deposit,Other Income,
2025-03-29,0.15,Deposit,Other Income,
2025-03-29,0.61,Deposit,Other Income,
2025-03-29,1.18,Deposit,Other Income,
2025-03-29,0.34,Deposit,Other Income,
2025-03-29,0.27,Deposit,Other Income,
2025-03-29,2.34,Deposit,Other Income,
2025-03-28,0.12,Deposit,Other Income,
2025-03-28,0.15,Deposit,Other Income,
2025-03-24,0.22,Deposit,Other Income,
2025-03-24,0.03,Deposit,Other Income,
2025-03-22,0.66,Deposit,Other Income,
2025-03-22,0.44,Deposit,Other Income,
2025-03-21,0.25,Deposit,Other Income,
2025-03-19,0.5,Deposit,Other Income,
2025-03-19,0.07,Deposit,Other Income,
2025-03-19,2.34,Deposit,Other Income,
2025-03-19,0.66,Deposit,Other Income,
2025-03-19,0.04,Deposit,Other Income,
2025-03-18,6.68,Deposit,Other Income,
2025-03-18,0.09,Deposit,Other Income,
2025-03-18,0.18,Deposit,Other Income,
2025-03-18,0.1,Deposit,Other Income,
2025-03-17,0.29,Deposit,Other Income,
2025-03-17,1.61,Deposit,Other Income,
2025-03-17,0.36,Deposit,Other Income,
2025-03-17,0.86,Deposit,Other Income,
2025-03-16,1.3,Deposit,Other Income,
2025-03-15,0.22,Deposit,Other Income,
2025-03-15,0.29,Deposit,Other Income,
2025-03-15,0.18,Deposit,Other Income,
2025-03-13,0.11,Deposit,Other Income,
2025-03-12,0.22,Deposit,Other Income,
2025-03-12,3.06,Deposit,Other Income,
2025-03-11,1.0,Deposit,Other Income,
2025-03-11,0.55,Deposit,Other Income,
2025-03-07,0.65,Deposit,Other Income,
2025-03-07,0.92,Deposit,Other Income,
2025-03-05,1.55,Deposit,Other Income,
2025-03-05,2.42,Deposit,Other Income,
2025-03-04,0.24,Deposit,Other Income,
2025-03-04,0.27,Deposit,Other Income,
2025-03-04,0.27,Deposit,Other Income,
2025-03-04,0.28,Deposit,Other Income,
2025-03-04,0.4,Deposit,Other Income,
2025-03-04,0.22,Deposit,Other Income,
2025-03-03,0.08,Deposit,Other Income,
2025-03-03,0.28,Deposit,Other Income,
2025-03-03,0.7,Deposit,Other Income,
2025-03-03,0.36,Deposit,Other Income,
2025-03-03,1.05,Deposit,Other Income,
2025-03-03,0.01,Deposit,Other Income,
2025-03-03,0.01,Deposit,Other Income,
2025-03-03,0.22,Deposit,Other Income,
2025-03-03,0.24,Deposit,Other Income,
2025-03-03,0.06,Deposit,Other Income,
2025-03-03,0.99,Deposit,Other Income,
2025-03-03,0.09,Deposit,Other Income,
2025-03-03,0.04,Deposit,Other Income,
2025-03-03,1.62,Deposit,Other Income,
2025-03-02,1.66,Deposit,Other Income,
2025-03-01,1.31,Interest,Interest Gains,
2025-02-27,0.12,Deposit,Other Income,
2025-02-27,0.54,Deposit,Other Income,
2025-02-26,1.4,Deposit,Other Income,
2025-02-26,0.07,Deposit,Other Income,
2025-02-26,0.13,Deposit,Other Income,
2025-02-26,0.29,Deposit,Other Income,
2025-02-24,0.66,Deposit,Other Income,
2025-02-24,0.33,Deposit,Other Income,
2025-02-24,0.22,Deposit,Other Income,
2025-02-24,0.03,Deposit,Other Income,
2025-02-23,0.99,Deposit,Other Income,
2025-02-22,1.3,Deposit,Other Income,
2025-02-22,0.44,Deposit,Other Income,
2025-02-22,0.64,Deposit,Other Income,
2025-02-22,4.98,Deposit,Other Income,
2025-02-22,0.25,Deposit,Other Income,
2025-02-22,0.01,Deposit,Other Income,
2025-02-21,2.38,Deposit,Other Income,
2025-02-20,0.5,Deposit,Other Income,
2025-02-19,0.07,Deposit,Other Income,
2025-02-19,0.27,Deposit,Other Income,
2025-02-19,0.2,Deposit,Other Income,
2025-02-18,0.3,Deposit,Other Income,
2025-02-18,0.16,Deposit,Other Income,
